,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
30,Mish,0.544482784437998,2,2,2,2,3,2,on,0.0002019607119032,3,80.10545349121094,-3.55639910697937,-0.9222092628479004,116,2439.2129213809967,2502.7823717594147,1688620268.66913,1688620332.238232,80.10545349121094,83.5970687866211,0.9222092628479004,136.17445373535156,73.5604248046875,6348.2998046875,3.55639910697937
31,Hardswish,0.2523221332918692,2,2,1,3,4,4,on,0.0002880043537804,182,94.06690216064452,-2.275573253631592,-0.7048425078392029,12,0.2763569355010986,2170.0588252544403,1688617829.732577,1688619999.5145626,94.06690216064452,96.47492980957033,0.7048425078392029,96.26229095458984,93.20429229736328,216813.625,2.275573253631592
32,Mish,0.098563394127018,1,2,2,2,1,1,off,0.000518913109647,125,92.24332427978516,-3.744931221008301,-0.6476870179176331,14,0.2774369716644287,1623.4119243621826,1688617829.7336571,1688619452.867641,92.24332427978516,97.79139709472656,0.6476870179176331,92.66020965576172,89.37025451660156,162142.546875,3.744931221008301
33,Mish,0.0265375601585738,3,2,0,3,2,4,off,0.00087196490712,80,89.98274230957031,-3.039044141769409,-0.5152125954627991,15,0.2773942947387695,1240.2541542053225,1688617829.7336173,1688619069.7098992,89.98274230957031,96.1485366821289,0.5152125954627991,94.93429565429688,83.96424865722656,123811.40625,3.039044141769409
34,Mish,0.5074358911595361,2,0,2,4,3,0,off,0.0003370227675891,126,86.91505432128906,-3.0410196781158447,-0.7257975339889526,18,0.2711014747619629,2326.634617328644,1688617829.7273226,1688620156.0903444,86.91505432128906,95.49812316894533,0.7257975339889526,80.00625610351562,87.0166015625,232449.15625,3.0410196781158447
35,Hardswish,0.8305636101659455,0,0,1,2,0,4,on,0.0004470786862546,91,57.93266296386719,-2.1133508682250977,-0.2999669909477234,20,0.2772097587585449,937.6526596546172,1688617829.7334306,1688618767.1083727,57.93266296386719,84.97982025146484,0.2999669909477234,31.21647834777832,44.96664810180664,93551.53125,2.1133508682250977
36,Mish,0.5488370611503351,0,2,2,2,0,3,on,0.0002980107830704,90,72.56715393066406,-2.691896677017212,-0.6240968108177185,23,0.2772567272186279,1304.7164809703827,1688617829.7334795,1688619134.1721835,72.56715393066406,91.21046447753906,0.6240968108177185,94.36249542236328,89.55825805664062,130258.3671875,2.691896677017212
37,Hardswish,0.2925811593452614,4,3,1,0,0,2,off,0.0007165746049681,122,84.6680908203125,-1.440318942070007,-0.3593466579914093,24,0.2766692638397217,1115.999748468399,1688617829.73289,1688618945.455488,84.6680908203125,86.94530487060547,0.3593466579914093,45.3081169128418,74.4101791381836,111384.6640625,1.440318942070007
38,Mish,0.8168181222288522,0,1,1,2,2,4,on,0.0003047158531658,76,76.30264282226562,-2.8323774337768555,-0.5439159274101257,28,0.2770354747772217,1193.784598350525,1688617829.7332568,1688619023.2403333,76.30264282226562,86.76691436767578,0.5439159274101257,61.99826049804688,54.3948860168457,119166.875,2.8323774337768555
39,Hardswish,0.9791915111421584,4,1,1,0,1,0,on,0.0007664723134316,170,76.6502685546875,-1.7277380228042605,-0.0307635758072137,29,0.2779834270477295,1190.0861723423004,1688617829.7342048,1688619019.5419223,76.6502685546875,77.00517272949219,0.0307635758072137,10.438892364501951,84.19647979736328,118799.546875,1.7277380228042605
40,Mish,0.6347669290791705,4,0,3,4,1,3,on,0.0006999418481012,124,57.77763366699219,-3.604178905487061,-0.1302368640899658,3,0.2665505409240722,2640.086795330048,1688617829.722782,1688620469.5425477,57.77763366699219,81.9893569946289,0.1302368640899658,14.354549407958984,42.27922439575195,263814.5625,3.604178905487061
41,Hardswish,0.511574511527845,1,0,2,0,4,4,off,0.0002213845015608,178,92.23356628417967,-2.4905760288238525,-0.2242864966392517,34,0.2839269638061523,1610.8767273426056,1688617829.7401514,1688619440.332466,92.23356628417967,99.27033233642578,0.2242864966392517,45.07897186279297,91.22442626953124,160873.71875,2.4905760288238525
42,Hardswish,0.7551348401872172,1,2,0,0,4,0,on,0.0003439168828929,132,88.37696838378906,-1.809739112854004,-0.2355643659830093,35,0.2842152118682861,1011.6949343681335,1688617829.7404332,1688618841.1506312,88.37696838378906,90.1464614868164,0.2355643659830093,41.08232879638672,87.28923034667969,100954.1796875,1.809739112854004
43,Mish,0.4652053656924876,0,2,0,2,4,4,off,0.0003461780129506,101,80.7783432006836,-2.3894641399383545,-0.4374568462371826,37,0.2875013351440429,1538.5512239933014,1688617829.7437158,1688619368.0070498,80.7783432006836,89.39994812011719,0.4374568462371826,61.93809127807617,82.17852783203125,153642.203125,2.3894641399383545
44,ReLU,0.4382114746752978,4,2,3,2,3,1,on,0.0003534568297143,175,92.71390533447266,-1.6916455030441284,-0.5542600750923157,38,0.2881560325622558,1910.710072517395,1688617829.7443786,1688619740.165794,92.71390533447266,93.32782745361328,0.5542600750923157,75.69921112060547,91.8979263305664,190861.953125,1.6916455030441284
45,ReLU,0.0022530951705379,2,2,3,1,4,0,off,0.0001746562334183,133,93.01619720458984,-1.767911434173584,-0.7089662551879883,39,0.2884013652801513,1404.8284125328064,1688617829.7446232,1688619234.2841616,93.01619720458984,97.19476318359376,0.7089662551879883,75.92833709716797,92.7284927368164,140269.0,1.767911434173584
46,Mish,0.5978260675174802,4,4,1,0,4,0,off,0.0006577614100862,120,43.683135986328125,-2.3727054595947266,-0.0859953537583351,4,0.2666947841644287,1278.92671251297,1688617829.7229197,1688619108.382457,43.683135986328125,67.35296630859375,0.0859953537583351,9.961661338806152,76.16517639160156,127689.765625,2.3727054595947266
47,ReLU,0.2068083620938379,2,4,0,0,1,3,off,0.0006324255678557,133,85.0916748046875,-1.514939546585083,-0.3637714087963104,41,38.40670394897461,1230.9090554714203,1688617867.8629107,1688619060.3649218,85.0916748046875,96.07888793945312,0.3637714087963104,43.9001579284668,85.08856201171875,119237.9140625,1.514939546585083
48,Mish,0.8827081552990931,3,2,1,4,4,4,on,0.000201712066195,63,79.7315673828125,-2.8861725330352783,-0.4224954545497894,42,138.31123971939087,1087.464895248413,1688617967.7674458,1688618916.9207418,79.7315673828125,87.88935089111328,0.4224954545497894,58.676231384277344,75.49275970458984,94911.921875,2.8861725330352783
49,ReLU,0.2669472824702092,4,0,1,1,0,4,on,0.0006342912149604,95,47.680763244628906,-1.598941683769226,-0.0664204284548759,43,318.1530420780182,1112.7713136672974,1688618147.609248,1688618942.227176,47.680763244628906,84.77691650390625,0.0664204284548759,8.704801559448242,37.27316665649414,79449.4765625,1.598941683769226
50,ReLU,0.8744054547816356,0,3,2,0,1,1,on,0.0006891822051085,168,81.32559204101562,-1.67812180519104,-0.3332987129688263,46,450.5274164676666,1799.261379480362,1688618279.9836266,1688619628.7172077,81.32559204101562,79.61531829833984,0.3332987129688263,43.52695846557617,85.9874496459961,134861.09375,1.67812180519104
51,Mish,0.2849904572625814,0,2,1,1,3,4,off,0.0002832647797992,102,89.62130737304688,-2.181166648864746,-0.4121517539024353,47,456.63289403915405,1880.0965123176577,1688618286.089105,1688619709.552354,89.62130737304688,91.2760772705078,0.4121517539024353,53.89257049560547,90.2822494506836,142336.484375,2.181166648864746
52,Mish,0.4370375268222945,3,1,2,1,4,0,off,1.389830200668626e-05,65,92.54442596435548,-2.4055631160736084,-0.3960233628749847,49,492.1760849952698,1333.0013608932495,1688618321.632292,1688619162.4572225,92.54442596435548,95.63347625732422,0.3960233628749847,48.150047302246094,91.52381134033205,84070.1640625,2.4055631160736084
53,ReLU,0.7194808452542877,1,2,2,2,4,0,on,0.0009432296759432,117,25.02477645874023,-3.2107458114624023,-0.5222944021224976,50,554.9444668292999,1888.7887530326843,1688618384.4006765,1688619718.2445793,25.02477645874023,57.85124206542969,0.5222944021224976,85.73674774169922,44.80899810791016,133372.046875,3.2107458114624023
54,Hardswish,0.5618827701633043,0,1,3,3,3,0,on,3.2290246171477873e-05,120,93.57469940185548,-1.5272493362426758,-0.1341169327497482,51,586.6551206111908,1690.370360374451,1688618416.111331,1688619519.8262153,93.57469940185548,92.57589721679688,0.1341169327497482,17.996000289916992,91.87175750732422,110359.2265625,1.5272493362426758
55,Mish,0.7068883446559496,1,1,0,2,4,0,off,0.0002981942371525,76,85.4874496459961,-1.7980411052703855,-0.4420648217201233,52,640.8123157024384,1450.207872390747,1688618470.2685254,1688619279.6637218,85.4874496459961,88.44119262695312,0.4420648217201233,45.25675582885742,75.41793060302734,80927.1953125,1.7980411052703855
56,ReLU,0.4352420041160405,4,3,3,1,3,1,off,0.0004004134441843,143,88.45448303222656,-1.5704843997955322,-0.1461644470691681,53,668.1797933578491,2142.2891023159027,1688618497.636001,1688619971.744952,88.45448303222656,93.63976287841795,0.1461644470691681,17.803979873657227,73.07709503173828,147398.578125,1.5704843997955322
57,Hardswish,0.8397969532879002,4,1,3,3,3,3,off,0.000559512967466,50,27.97374153137207,-2.009371042251587,-0.1548106372356414,54,696.3207523822784,1213.688639879227,1688618525.7769597,1688619043.1444829,27.97374153137207,85.06208038330078,0.1548106372356414,18.38455390930176,33.52067947387695,51724.4765625,2.009371042251587
58,Mish,0.0022617053824528,0,1,4,1,0,2,off,0.0002985938730173,59,82.17829895019531,-2.568427562713623,-0.3084920942783355,55,782.2942838668823,1454.319121837616,1688618611.75049,1688619283.774986,82.17829895019531,93.66976928710938,0.3084920942783355,39.713008880615234,88.98648071289062,67190.1484375,2.568427562713623
59,Hardswish,0.2987131076719631,1,1,1,2,0,3,on,0.0001704899022286,63,67.43437194824219,-1.2689169645309448,-0.3357958197593689,56,850.1221704483032,1288.6132009029388,1688618679.578375,1688619118.0690715,67.43437194824219,76.81102752685547,0.3357958197593689,44.663028717041016,84.12386322021484,43836.78125,1.2689169645309448
60,Hardswish,0.4775402399102456,3,0,1,1,1,1,off,0.0005454819133717,138,43.54291534423828,-1.2487304210662842,-0.0869578942656517,58,875.506680727005,1902.6241312026973,1688618704.96289,1688619732.079981,43.54291534423828,76.59042358398438,0.0869578942656517,10.019895553588867,81.72261047363281,102699.453125,1.2487304210662842
61,ReLU,0.5750850585675343,0,0,1,4,0,1,on,3.883367304360637e-05,67,88.65819549560547,-1.948999285697937,-0.0834673270583152,59,888.4838464260101,1475.8843190670011,1688618717.940056,1688619305.3401625,88.65819549560547,84.51614379882812,0.0834673270583152,10.284120559692385,81.04849243164062,58727.6953125,1.948999285697937
62,Mish,0.011535413744036,3,1,4,2,4,4,off,0.0004508451438168,10,87.16932678222656,-2.5891759395599365,-0.343667060136795,60,915.6532564163208,1059.9978730678558,1688618745.1094658,1688618889.4537258,87.16932678222656,88.32211303710938,0.343667060136795,53.48179626464844,82.99281311035156,14422.1650390625,2.5891759395599365
63,Hardswish,0.9086696143769936,1,1,3,1,4,0,off,0.0006237733281682,178,42.38252639770508,-1.9302728176116943,-0.2859145998954773,62,937.703162908554,2607.001593351364,1688618767.1593735,1688620436.4574487,42.38252639770508,86.08087158203125,0.2859145998954773,9.345708847045898,87.77278137207031,166917.5625,1.9302728176116943
64,ReLU,0.5654487961941761,1,4,1,1,1,3,off,0.000921106996133,174,63.863189697265625,-1.671781063079834,-0.1028068885207176,64,1060.045976638794,2457.3868794441223,1688618889.5021858,1688620286.842729,63.863189697265625,57.19840240478515,0.1028068885207176,10.757774353027344,74.0494155883789,139723.484375,1.671781063079834
65,Mish,0.9188291928964092,4,2,0,3,1,2,off,0.0003088729872437,4,61.68525314331055,-1.797767162322998,-0.5731133818626404,65,1087.5145456790924,1143.3345665931702,1688618916.970751,1688618972.7904272,61.68525314331055,84.67032623291016,0.5731133818626404,67.38042449951172,51.69051742553711,5574.107421875,1.797767162322998
66,Mish,0.9380844293746644,4,0,1,1,3,4,off,0.0003560589690358,21,47.33258819580078,-2.403141498565674,-0.1047000288963318,66,1112.8202760219574,1426.884420633316,1688618942.276481,1688619256.3402588,47.33258819580078,86.95092010498047,0.1047000288963318,9.284666061401367,64.93447875976562,31394.060546875,2.403141498565674
67,Mish,0.4405305953377858,0,4,3,4,2,4,off,0.0006627017134278,30,68.13011169433594,-2.8567585945129395,-0.3589370250701904,68,1143.383219242096,1673.026507616043,1688618972.8394248,1688619502.4823737,68.13011169433594,78.0256576538086,0.3589370250701904,50.97966003417969,57.32199096679688,52952.0078125,2.8567585945129395
68,ReLU,0.9367581525049116,0,2,2,3,1,3,off,0.0003534369019531,66,51.4772834777832,-1.7039337158203125,-0.5311906337738037,69,1190.1379435062408,1670.2805404663086,1688619019.5941532,1688619499.7363954,51.4772834777832,86.13085174560547,0.5311906337738037,73.60784912109375,67.72827911376953,48001.9765625,1.7039337158203125
69,Hardswish,0.3965777541183127,3,1,2,3,2,4,on,0.0006365262835893,111,76.85718536376953,-1.9113270044326784,-0.463043749332428,7,0.2667224407196045,1559.7542128562927,1688617829.7229517,1688619389.209965,76.85718536376953,81.40065002441406,0.463043749332428,92.31713104248048,69.07194519042969,155763.828125,1.9113270044326784
70,Mish,0.5651528679406185,4,3,2,4,4,4,on,0.0007427308869179,65,75.75869750976562,-4.175571918487549,-0.309758186340332,70,1193.8369121551514,2151.6399261951447,1688619023.293121,1688619981.0957592,75.75869750976562,79.8267822265625,0.309758186340332,51.96868896484375,47.2714958190918,95767.9609375,4.175571918487549
71,ReLU,0.1792836361981157,2,0,1,3,0,3,on,0.0007308664839542,50,58.62994766235352,-1.4836266040802002,-0.4169792234897613,71,1213.7365012168884,1618.757675409317,1688619043.1927068,1688619448.2135425,58.62994766235352,85.21582794189453,0.4169792234897613,52.67470550537109,79.24424743652344,40489.8203125,1.4836266040802002
