p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
ReLU,0.0235946941619869,2,2,3,1,2,0,on,0.0002268600778523792,53,92.54834747314452,-1.5438693761825562,-0.7241019010543823,21,0.437129020690918,557.2093329429626,1688844902.0377057,1688845458.8093865,92.54834747314452,93.46737670898438,0.7241019010543823,108.59636688232422,90.42139434814452,55431.40234375,1.5438693761825562
Hardswish,0.3227959910713276,4,0,0,0,0,4,on,0.00018702356270609735,20,75.23455810546875,-1.090813398361206,-0.08391383290290833,213,1335.8363962173462,1467.6002388000488,1688846237.4369583,1688846369.200447,75.23455810546875,78.92694854736328,0.08391383290290833,9.22243309020996,84.42606353759766,13164.0830078125,1.090813398361206
Hardswish,0.41768733493954663,1,0,2,0,2,3,on,0.00031979627287293325,178,93.2173080444336,-1.352426290512085,-0.6447844505310059,22,0.436781644821167,1591.9862279891968,1688844902.0373552,1688846493.5863087,93.2173080444336,96.64104461669922,0.6447844505310059,81.76228332519531,93.91693115234376,158910.96875,1.352426290512085
Hardswish,0.09948340507359205,3,2,1,2,0,2,off,0.0003919114465445225,129,83.91568756103516,-1.5069549083709717,-0.6975805759429932,23,0.4300503730773926,1373.2031273841858,1688844902.0306246,1688846274.803215,83.91568756103516,98.50843811035156,0.6975805759429932,80.2661361694336,92.21265411376952,137037.265625,1.5069549083709717
Hardswish,0.7683356376666487,1,0,0,0,2,1,on,0.0005670918580987115,8,51.07444763183594,-1.0048513412475586,-0.254513680934906,230,1545.3812868595123,1598.7925126552582,1688846446.9818492,1688846500.3927078,51.07444763183594,69.0047378540039,0.254513680934906,42.802982330322266,50.866554260253906,5333.40380859375,1.0048513412475586
Hardswish,0.9679147656227776,4,1,0,0,0,4,off,5.6784232939899293e-05,18,39.834415435791016,-1.45478618144989,-0.07845665514469147,234,1560.5813081264496,1688.1191375255585,1688846462.1818695,1688846589.719333,39.834415435791016,86.47537231445312,0.07845665514469147,9.43062686920166,67.53675079345703,12741.3994140625,1.45478618144989
Hardswish,0.0972851497429337,1,2,4,4,0,0,on,0.0005752127856829812,163,93.25801849365234,-1.7166227102279663,-0.4549507200717926,24,0.43672704696655273,1335.593995809555,1688844902.0373006,1688846237.1940982,93.25801849365234,92.92538452148438,0.4549507200717926,45.62329864501953,91.33760833740234,133273.140625,1.7166227102279663
Mish,0.3711208387166439,2,3,1,4,4,0,on,0.0002720276293461375,18,79.34461975097656,-2.2617053985595703,-0.41093266010284424,27,0.43711137771606445,267.3724446296692,1688844902.037687,1688845168.9717147,79.34461975097656,87.24032592773438,0.41093266010284424,48.1572380065918,74.42068481445312,26447.8984375,2.2617053985595703
Mish,0.30737465232718747,4,3,3,3,4,4,on,0.00017238829725765964,2,45.428199768066406,-3.4146008491516113,-0.14245285093784332,28,0.4359219074249267,45.59823203086853,1688844902.0364966,1688844947.1974895,45.428199768066406,75.3226318359375,0.14245285093784332,17.522306442260742,53.66743850708008,4297.32568359375,3.4146008491516113
Hardswish,0.4304698092068115,3,2,0,3,4,1,on,0.0003574294071152412,144,87.60392761230469,-2.131268262863159,-0.3084341883659363,3,0.3895251750946045,1613.923096656799,1688844901.9901018,1688846515.523199,87.60392761230469,92.47126770019533,0.3084341883659363,53.72534942626953,88.94602966308594,161123.015625,2.131268262863159
Mish,0.8848640088092872,0,2,0,2,3,2,on,0.0004217005069772456,76,65.124267578125,-2.6349916458129883,-0.6532053351402283,30,0.4484388828277588,1373.4290132522583,1688844902.0490155,1688846275.0291111,65.124267578125,87.91754150390625,0.6532053351402283,79.06781768798828,73.85844421386719,137065.09375,2.6349916458129883
ReLU,0.8016674751320976,4,0,0,1,4,3,off,0.0006578422576603478,66,43.28990173339844,-1.44303560256958,-0.11894933134317398,31,0.44327259063720703,677.5507996082306,1688844902.043855,1688845579.150084,43.28990173339844,74.072998046875,0.11894933134317398,8.21509075164795,33.15299987792969,67466.0546875,1.44303560256958
Hardswish,0.381953542574902,2,1,4,4,0,0,off,9.820169468048432e-05,24,88.11074829101562,-1.4550504684448242,-0.35057535767555237,32,0.4438760280609131,227.8149945735931,1688844902.0444486,1688845129.415066,88.11074829101562,91.00011444091795,0.35057535767555237,42.95737075805664,77.3255844116211,22500.865234375,1.4550504684448242
Mish,0.9486414250138102,2,3,2,0,0,3,on,0.00032885405732347383,134,89.34173583984375,-2.860215425491333,-0.8096158504486084,33,0.4441151618957519,1668.9341666698456,1688844902.0446925,1688846570.5342498,89.34173583984375,93.3770980834961,0.8096158504486084,93.5263442993164,91.16777801513672,166605.796875,2.860215425491333
Mish,0.9731634372740748,4,4,3,4,3,0,off,0.0004394785517455276,63,49.06233596801758,-3.065250873565674,-0.1808207482099533,35,0.4541945457458496,1119.2254145145416,1688844902.05477,1688846020.8254943,49.06233596801758,85.27387237548828,0.1808207482099533,14.312186241149902,60.44725036621094,111654.875,3.065250873565674
ReLU,0.9844702971086527,3,0,2,1,0,2,on,0.00025370885431754976,93,69.50878143310547,-2.0122220516204834,-0.5986752510070801,36,0.44747042655944824,925.0654678344728,1688844902.0480566,1688845826.6655226,69.50878143310547,89.79306030273438,0.5986752510070801,66.68863677978516,85.36966705322266,92228.5859375,2.0122220516204834
ReLU,0.8650098824775794,1,0,1,4,2,1,on,0.0008158764470197645,137,59.969261169433594,-2.9196419715881348,-0.3221866190433502,37,0.4502906799316406,1480.175972223282,1688844902.0508633,1688846381.77606,59.969261169433594,22.032255172729492,0.3221866190433502,37.331153869628906,17.811931610107422,147726.703125,2.9196419715881348
ReLU,0.004404703601014642,0,2,1,2,2,3,off,0.0009821889035999626,153,92.4007339477539,-1.4641616344451904,-0.822339653968811,38,0.4516575336456299,1555.8839514255524,1688844902.0522337,1688846457.483336,92.4007339477539,99.25109100341795,0.822339653968811,95.58053588867188,94.0203628540039,155321.828125,1.4641616344451904
Mish,0.2543943901168739,3,0,2,3,0,0,off,0.0007908086782058229,77,83.52091979980469,-2.111023187637329,-0.35698726773262024,40,0.46158814430236816,939.2127923965454,1688844902.0621607,1688845840.812912,83.52091979980469,89.74717712402344,0.35698726773262024,53.14385223388672,66.70259857177734,93642.1328125,2.111023187637329
Mish,0.18130912268030497,0,2,2,4,4,1,on,0.0006824853775274902,89,81.01294708251953,-2.7298128604888916,-0.5245999693870544,41,0.45468735694885254,1324.9751706123352,1688844902.0552564,1688846226.5752568,81.01294708251953,88.0558090209961,0.5245999693870544,80.5123062133789,82.48303985595703,132221.265625,2.7298128604888916
