,p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
46,Hardswish,0.06916202450202656,1,3,0,1,1,4,on,1.4800230561406088e-05,174,93.76131439208984,-1.3870927095413208,-0.09801279008388519,46,1688837093.824231,1688838510.7978575,93.76131439208984,97.00870513916016,0.09801279008388519,11.516223907470703,92.82150268554688,141550.921875,1.3870927095413208
47,ReLU,0.44996187602954557,4,4,4,4,4,4,off,0.00031213148519310954,162,88.89437103271484,-2.5748698711395264,-0.10282616317272186,47,1688837093.827164,1688839981.016695,88.89437103271484,94.36458587646484,0.10282616317272186,9.92621898651123,78.72737884521484,288575.65625,2.5748698711395264
48,Hardswish,0.05315925305778499,4,0,2,0,0,2,on,0.000552213026269954,34,90.68656158447266,-1.47769296169281,-0.6185154914855957,48,1688837093.8309612,1688837380.184045,90.68656158447266,89.26691436767578,0.6185154914855957,77.40863037109375,89.33553314208984,28489.84375,1.47769296169281
49,ReLU,0.9380537512407254,3,1,4,1,1,3,on,0.0004930492048617867,189,34.74170684814453,-2.285168170928955,-0.1142859160900116,49,1688837093.8339312,1688839600.2461903,34.74170684814453,83.73382568359375,0.1142859160900116,13.538032531738281,84.92462921142578,250523.4375,2.285168170928955
50,ReLU,0.8737928692816973,4,4,4,0,1,3,off,0.0006314952739016989,162,58.5089225769043,-2.717272996902466,-0.09015938639640808,50,1688837093.8366077,1688838508.3236506,58.5089225769043,90.37403869628906,0.09015938639640808,12.351214408874512,84.75273132324219,141303.484375,2.717272996902466
51,ReLU,0.34659892583011165,2,2,2,4,1,4,on,0.0008005726738037414,13,60.19674301147461,-1.653704047203064,-0.8100283741950989,51,1688837093.8400867,1688837256.0156848,60.19674301147461,79.33258056640625,0.8100283741950989,106.8436050415039,50.42296600341797,16075.8779296875,1.653704047203064
52,ReLU,0.1789244481382792,2,3,4,3,0,0,on,0.0006596849422908448,123,80.6539306640625,-1.3875330686569214,-0.427658349275589,52,1688837093.8434324,1688838315.616485,80.6539306640625,87.68492889404297,0.427658349275589,55.87729263305664,90.48017120361328,122036.546875,1.3875330686569214
53,ReLU,0.8213161799094159,0,3,1,0,1,3,off,0.0006022062399747779,99,70.80580139160156,-1.231259822845459,-0.10969635844230652,53,1688837093.8467636,1688837823.397433,70.80580139160156,64.59963989257812,0.10969635844230652,13.286933898925781,62.77785873413086,72808.7734375,1.231259822845459
54,ReLU,0.3309391442265532,4,3,4,2,2,4,on,0.0005596904449296441,43,66.92730712890625,-2.7004032135009766,-0.5764654278755188,54,1688837093.8501384,1688837734.1407871,66.92730712890625,78.44392395019531,0.5764654278755188,74.45016479492188,61.9632568359375,63882.87890625,2.7004032135009766
55,Mish,0.9550029136065472,1,4,2,4,1,3,off,0.00012480819508666664,88,74.5873794555664,-2.5105810165405273,-0.34367403388023376,55,1688837093.8539197,1688838321.748895,74.5873794555664,92.08676147460938,0.34367403388023376,46.69868850708008,86.14414978027344,122643.7890625,2.5105810165405273
56,ReLU,0.961679559854643,0,0,0,0,4,2,off,0.0007177693921955096,194,84.96826171875,-1.663507103919983,-0.31431999802589417,56,1688837093.8574572,1688838752.1776216,84.96826171875,98.97677612304688,0.31431999802589417,43.123966217041016,88.98433685302734,165686.25,1.663507103919983
57,Hardswish,0.9571481700493774,3,2,3,0,3,2,off,0.00017100540224541128,14,85.98098754882812,-1.4819183349609375,-0.64130699634552,57,1688837093.6335156,1688837220.481708,85.98098754882812,89.62808990478516,0.64130699634552,80.09862518310547,75.35061645507812,12544.056640625,1.4819183349609375
58,ReLU,0.6584060204829314,2,3,4,0,0,1,off,0.0009046600220271231,27,37.69558334350586,-1.2423404455184937,-0.41203397512435913,58,1688837093.8604212,1688837369.2653716,37.69558334350586,43.1807975769043,0.41203397512435913,41.22344970703125,25.09208106994629,27395.236328125,1.2423404455184937
59,ReLU,0.8890440936709132,3,2,1,3,4,4,off,0.0005978004310694644,162,82.67565155029297,-2.3353116512298584,-0.40684565901756287,59,1688837093.8631413,1688839759.926464,82.67565155029297,92.67594146728516,0.40684565901756287,65.46207427978516,70.46370697021484,266488.3125,2.3353116512298584
60,Hardswish,0.6179517793214179,2,4,4,0,1,3,on,0.0008098155360225931,192,81.8329849243164,-2.3847920894622803,-0.3801121711730957,60,1688837093.866774,1688839148.3052197,81.8329849243164,94.38220977783203,0.3801121711730957,43.2287712097168,91.17021179199219,205299.0,2.3847920894622803
61,ReLU,0.914446979474728,3,4,0,3,2,3,off,0.00021166312845182872,82,68.56075286865234,-1.9858213663101196,-0.3987601697444916,61,1688837093.8703847,1688838014.6702495,68.56075286865234,92.75231170654297,0.3987601697444916,50.3690071105957,82.14552307128906,91962.7109375,1.9858213663101196
62,Mish,0.27576025868895876,2,2,3,1,3,1,off,0.0009173013367869019,10,64.9678726196289,-2.1818764209747314,-0.6604034900665283,62,1688837093.8742583,1688837235.9845,64.9678726196289,85.7336654663086,0.6604034900665283,88.06514739990234,54.90056610107422,14066.8154296875,2.1818764209747314
63,Hardswish,0.1862282746028166,3,1,1,4,1,0,on,0.0005809681059975233,174,92.04986572265625,-1.5054622888565063,-0.08964797854423523,63,1688837093.8771837,1688838243.9294834,92.04986572265625,90.98623657226562,0.08964797854423523,13.016383171081543,89.78272247314453,114861.421875,1.5054622888565063
64,Mish,0.5618977228665024,3,3,2,0,3,3,on,1.2321287735045449e-05,135,94.7088851928711,-2.455392360687256,-0.5737539529800415,64,1688837093.8813925,1688838887.094983,94.7088851928711,95.09754180908203,0.5737539529800415,51.40459060668945,94.1507339477539,179175.796875,2.455392360687256
65,Hardswish,0.1752674224546648,1,1,4,4,1,0,on,0.0007435859742297221,43,83.87381744384766,-1.806777000427246,-0.054565127938985825,65,1688837093.8841538,1688837362.7055635,83.87381744384766,76.7454833984375,0.054565127938985825,8.88188648223877,71.70352935791016,26736.857421875,1.806777000427246
66,Mish,0.2549042626650426,2,2,4,4,1,2,off,0.0002273698387774752,7,68.7026138305664,-3.1385304927825928,-0.6843093633651733,66,1688837093.887417,1688837206.8322,68.7026138305664,89.72372436523438,0.6843093633651733,100.4361572265625,70.09716033935547,11151.5888671875,3.1385304927825928
67,ReLU,0.44229602072918217,3,0,0,4,0,0,off,0.0005275527215966542,58,44.58940124511719,-1.605228304862976,-0.10997788608074188,67,1688837093.890767,1688837487.449858,44.58940124511719,74.38046264648438,0.10997788608074188,11.84313678741455,46.75138854980469,39210.98046875,1.605228304862976
68,Mish,0.12372719491359734,4,0,2,3,1,1,off,0.0009647351400941701,115,86.60541534423828,-3.3088772296905518,-0.3732423782348633,68,1688837093.893839,1688838886.180063,86.60541534423828,93.03370666503906,0.3732423782348633,61.89680099487305,84.59516143798828,179084.5625,3.3088772296905518
69,Mish,0.34829169580964614,1,3,2,3,2,3,off,0.0006809086047956517,99,83.97193145751953,-4.137079238891602,-0.6111531257629395,69,1688837093.8972318,1688838756.9341714,83.97193145751953,87.02841186523438,0.6111531257629395,126.30506134033203,84.2056884765625,166159.4375,4.137079238891602
70,ReLU,0.7566601678224435,0,4,0,3,0,3,off,0.00032214466219825024,192,94.22635650634766,-1.5383230447769165,-0.1450124830007553,70,1688837093.9004745,1688838613.3966649,94.22635650634766,96.75729370117188,0.1450124830007553,13.341445922851562,91.3979263305664,151805.875,1.5383230447769165
71,Mish,0.7014910657776328,2,1,1,3,0,1,off,0.0008751470237432297,13,52.92863845825195,-1.7981104850769043,-0.3968316614627838,71,1688837093.9031477,1688837268.4250677,52.92863845825195,69.15135192871094,0.3968316614627838,39.518157958984375,33.988887786865234,17311.078125,1.7981104850769043
72,ReLU,0.6942466320687188,4,3,3,3,0,1,off,0.00021735622926839492,193,93.17499542236328,-1.4632655382156372,-0.14234542846679688,72,1688837093.905956,1688839003.2976391,93.17499542236328,95.8732681274414,0.14234542846679688,19.981184005737305,92.40480041503906,190826.734375,1.4632655382156372
73,Hardswish,0.6023287930198535,3,2,4,0,1,4,off,0.00045827274388007507,200,94.45049285888672,-3.0941784381866455,-0.4223543107509613,73,1688837093.9093015,1688839252.3932676,94.45049285888672,98.60489654541016,0.4223543107509613,58.801937103271484,92.76300811767578,215702.90625,3.0941784381866455
74,ReLU,0.905065244557251,1,2,2,2,4,1,on,0.0004496078513207001,34,68.407470703125,-2.2065351009368896,-0.6133203506469727,74,1688837093.9118884,1688837600.0163383,68.407470703125,77.5815200805664,0.6133203506469727,84.37335968017578,44.666107177734375,50474.30859375,2.2065351009368896
75,Mish,0.1827882409182835,4,2,4,0,2,0,on,0.0008057720985697283,98,79.6761703491211,-3.2595980167388916,-0.6804745197296143,75,1688837093.9144528,1688838526.0873263,79.6761703491211,89.974609375,0.6804745197296143,90.59062957763672,79.78063201904297,143083.828125,3.2595980167388916
76,ReLU,0.5534624052669952,3,4,0,4,3,2,off,0.00043013993653005935,160,91.0506362915039,-2.729574680328369,-0.3079189360141754,76,1688837093.9177978,1688838903.7395482,91.0506362915039,97.03221893310547,0.3079189360141754,51.652591705322266,89.56018829345703,180837.546875,2.729574680328369
77,Mish,0.9724640686395886,4,1,1,2,0,2,off,0.00040905376521409683,4,56.57819366455078,-2.2569525241851807,-0.5223011374473572,77,1688837093.9203596,1688837147.358177,56.57819366455078,71.52934265136719,0.5223011374473572,67.58123779296875,60.23069381713867,5204.34130859375,2.2569525241851807
78,Hardswish,0.9618588005596088,1,1,4,0,1,2,off,0.0009952094591402234,51,33.48826599121094,-3.62457275390625,-0.30017638206481934,78,1688837093.9229343,1688837712.9546924,33.48826599121094,44.266658782958984,0.30017638206481934,37.27843475341797,11.316386222839355,61759.33203125,3.62457275390625
79,Mish,0.35906006586711403,4,2,0,4,3,1,off,9.880927114184659e-05,64,85.20037841796875,-2.557126045227051,-0.309700608253479,79,1688837093.925969,1688837883.215887,85.20037841796875,91.23694610595703,0.309700608253479,47.62971115112305,87.71495056152344,78789.9140625,2.557126045227051
80,Hardswish,0.2637588449159727,0,0,4,4,1,3,off,3.0798882238677084e-05,80,85.39466857910156,-2.497623920440674,-0.10542261600494385,80,1688837147.6729016,1688838153.809955,85.39466857910156,95.10401153564453,0.10542261600494385,10.23537826538086,87.11005401611328,100601.296875,2.497623920440674
81,Mish,0.03170608389275071,3,1,2,3,1,1,on,0.0009835787841345539,170,92.75819396972656,-2.149238109588623,-0.3753194510936737,81,1688837175.5550044,1688838880.6374698,92.75819396972656,95.14329528808594,0.3753194510936737,60.387760162353516,89.88018798828125,170495.90625,2.149238109588623
82,Mish,0.5292002144149316,2,1,3,0,2,4,on,0.0009706497301438096,52,41.69102478027344,-3.4334378242492676,-0.6496131420135498,82,1688837207.1430361,1688838003.9020991,41.69102478027344,53.46849822998047,0.6496131420135498,76.88704681396484,38.462684631347656,79663.515625,3.4334378242492676
83,Hardswish,0.7193975989296966,4,2,3,3,4,1,off,0.0007201935554440745,25,31.207977294921875,-2.1377222537994385,-0.47932276129722595,83,1688837220.7920089,1688837511.138108,31.207977294921875,64.5254898071289,0.47932276129722595,61.20355224609375,54.13658905029297,29022.23828125,2.1377222537994385
84,ReLU,0.2341104021274798,2,0,0,4,3,0,on,0.0004494043395272889,167,87.89641571044922,-1.171614646911621,-0.31493231654167175,84,1688837236.3055768,1688838713.9189167,87.89641571044922,94.76963806152344,0.31493231654167175,43.41037368774414,91.3554458618164,147748.890625,1.171614646911621
85,Hardswish,0.7378680502657221,4,3,1,4,1,0,off,0.00014971016498404208,14,64.08892822265625,-1.8801273107528687,-0.07342321425676346,85,1688837252.914673,1688837363.4771118,64.08892822265625,78.84097290039062,0.07342321425676346,12.808338165283203,54.912960052490234,11043.85546875,1.8801273107528687
86,Hardswish,0.5440947372250619,0,3,3,2,3,3,on,4.235471487780066e-05,106,93.53260040283203,-1.559104561805725,-0.43342098593711853,86,1688837256.319093,1688838353.973613,93.53260040283203,93.05352020263672,0.43342098593711853,55.290626525878906,90.75086975097656,109753.109375,1.559104561805725
87,ReLU,0.3443019248817661,2,4,3,2,4,1,on,0.0007794101495924673,38,44.46809768676758,-2.136183023452759,-0.5994836091995239,87,1688837268.7406151,1688837686.7909496,44.46809768676758,75.65565490722656,0.5994836091995239,85.54057312011719,66.18315887451172,41792.7109375,2.136183023452759
88,ReLU,0.35808923145186944,3,1,3,4,2,4,off,0.0007120426022102498,45,60.084564208984375,-2.036045789718628,-0.36338797211647034,88,1688837293.6951327,1688837834.4753563,60.084564208984375,79.14259338378906,0.36338797211647034,52.29937744140625,37.67618179321289,54065.62109375,2.036045789718628
89,Hardswish,0.65903996598839,3,1,0,4,0,2,on,5.1129152841224904e-05,73,90.2250747680664,-1.4562965631484985,-0.35200050473213196,89,1688837296.2512987,1688837954.2106183,90.2250747680664,93.44725036621094,0.35200050473213196,43.65933609008789,87.73261260986328,65783.4921875,1.4562965631484985
90,Mish,0.6463624835796179,0,4,3,3,2,0,on,0.00034746503563864886,186,94.54443359375,-2.562338352203369,-0.3424365520477295,90,1688837350.1509333,1688840325.2951381,94.54443359375,95.4339370727539,0.3424365520477295,51.14071273803711,94.1951675415039,297502.0625,2.562338352203369
91,Mish,0.11220733268975311,2,1,0,3,0,0,on,0.0006225677634251484,143,87.34722137451172,-1.8927010297775269,-0.31414592266082764,91,1688837357.8187928,1688838512.070949,87.34722137451172,93.31745910644531,0.31414592266082764,50.1962776184082,92.7406234741211,115417.5234375,1.8927010297775269
