p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
Hardswish,0.004607441605657427,4,3,1,2,3,0,on,1.5800068367778352e-05,134,81.01593017578125,-1.4154406785964966,-0.3685883283615112,160,20.130056858062744,441.7112138271332,1692098721.2216291,1692099142.8023655,0.3685883283615112,84291.3359375,1.4154406785964966,52.480674743652344,81.01593017578125,83.63504028320312,80.32054138183594
ReLU,0.08066620283202447,3,1,3,1,1,3,off,8.308206966045202e-05,24,71.87580108642578,-0.8301191329956055,-0.15355956554412842,161,20.381747007369995,67.93264293670654,1692098721.4733248,1692098769.0238492,0.15355956554412842,9495.8095703125,0.8301191329956055,19.68122673034668,71.87580108642578,77.4547119140625,72.70745849609375
ReLU,0.058359770885804234,1,3,4,4,1,3,on,0.00016827642772619452,10,59.52971267700195,-1.8611574172973633,-0.1330467015504837,162,21.639827966690063,57.65958786010742,1692098722.731395,1692098758.7508132,0.1330467015504837,7191.947265625,1.8611574172973633,16.071697235107422,59.52971267700195,59.85567855834961,59.884742736816406
ReLU,0.006403291003037587,2,3,1,3,3,4,off,4.491736712356479e-05,55,78.38648986816406,-1.5707582235336304,-0.3943535387516022,164,27.387447357177734,227.95680809020996,1692098728.4790149,1692098929.0480273,0.3943535387516022,40092.40234375,1.5707582235336304,53.86981964111328,78.38648986816406,88.92920684814453,77.5120620727539
Hardswish,0.07330157269419413,4,4,1,2,2,1,off,0.0002446635400145649,28,62.650760650634766,-2.1098411083221436,-0.5656518936157227,165,33.072850704193115,150.7493281364441,1692098734.1644187,1692098851.840537,0.5656518936157227,23520.427734375,2.1098411083221436,78.05232238769531,62.650760650634766,66.18693542480469,59.30242538452149
Hardswish,0.39440453872071646,3,3,0,0,4,0,off,0.0009224800051183944,82,58.927215576171875,-1.2099113464355469,-0.13290904462337494,169,72.22508811950684,294.2671980857849,1692098773.3166535,1692098995.3583653,0.13290904462337494,44383.75390625,1.2099113464355469,15.36237907409668,58.927215576171875,68.92514038085938,61.758338928222656
Hardswish,0.2479967913071973,0,4,0,0,1,0,off,0.0005286715825937317,118,48.03744888305664,-0.8349995613098145,-0.059799954295158386,170,74.29788780212402,260.7970871925354,1692098775.3894508,1692098961.888253,0.059799954295158386,37275.15625,0.8349995613098145,7.784886837005615,48.03744888305664,56.81956100463867,50.2193603515625
Mish,0.6740016342981531,0,3,0,0,4,1,on,0.0004001289400626527,96,36.97816467285156,-1.7349848747253418,-0.1090894490480423,171,89.07710313796997,426.0891141891479,1692098790.1686754,1692099127.180324,0.1090894490480423,67377.625,1.7349848747253418,11.340879440307615,36.97816467285156,51.19486999511719,31.96340560913086
Hardswish,0.15820132021645608,0,4,1,0,1,1,on,0.0004143175884732527,174,18.04865074157715,-0.8073773980140686,-0.06289234757423401,172,95.12329435348512,363.4667081832886,1692098796.2148604,1692099064.5579245,0.06289234757423401,53643.953125,0.8073773980140686,7.760367393493652,18.04865074157715,10.881049156188965,14.506696701049805
Hardswish,0.008162737696014132,3,3,3,0,1,2,off,0.00013337733115394049,124,84.56873321533203,-0.9920222759246826,-0.4015800356864929,173,95.52337002754211,407.6060035228729,1692098796.6149335,1692099108.6972024,0.4015800356864929,62391.7421875,0.9920222759246826,54.53392791748047,84.56873321533203,99.2374496459961,84.51957702636719
Hardswish,0.5997405105854087,0,4,0,3,2,2,off,1.3124757958980409e-05,113,84.8954086303711,-1.4806981086730957,-0.5776095390319824,175,108.41644191741943,475.4244306087494,1692098809.508006,1692099176.5156362,0.5776095390319824,73376.8515625,1.4806981086730957,82.34758758544922,84.8954086303711,96.18631744384766,86.26175689697266
Hardswish,0.0032408560443578324,0,4,0,0,0,1,off,0.00020747837698634945,92,63.99297332763672,-0.7919389605522156,-0.06315919011831284,176,119.5313811302185,268.5959475040436,1692098820.6229525,1692098969.68714,0.06315919011831284,29788.1953125,0.7919389605522156,7.872355461120605,63.99297332763672,67.69166564941406,61.56789016723633
Hardswish,0.002281086442332307,1,1,4,1,3,0,on,1.3164743943784192e-05,128,61.852088928222656,-1.028016209602356,-0.10338573157787324,177,123.3896346092224,429.6552646160126,1692098824.4812038,1692099130.7464578,0.10338573157787324,61228.35546875,1.028016209602356,11.553914070129396,61.852088928222656,59.0407829284668,61.90115737915039
Hardswish,0.0095400702132898,0,4,4,0,4,1,on,0.00018087359281406727,69,57.52342987060547,-2.1029398441314697,-0.06359831988811493,178,125.7216980457306,401.0863811969757,1692098826.8132644,1692099102.1775963,0.06359831988811493,55048.1484375,2.1029398441314697,7.54433536529541,57.52342987060547,53.33528900146485,57.30110168457031
Hardswish,0.001854864750070425,3,1,1,4,2,1,on,6.335997761124424e-05,61,76.19234466552734,-1.3394832611083984,-0.3459087610244751,18,0.831545352935791,188.5186426639557,1692098701.92314,1692098889.6087637,0.3459087610244751,34613.1640625,1.3394832611083984,47.39998626708984,76.19234466552734,77.18008422851562,78.15074157714844
Hardswish,0.0025523166808318694,0,4,2,1,2,1,on,2.0130306146198767e-05,84,83.40216064453125,-1.4310698509216309,-0.5700578093528748,182,142.18076753616333,413.25754714012146,1692098843.2723362,1692099114.3487406,0.5700578093528748,54207.984375,1.4310698509216309,78.06270599365234,83.40216064453125,85.29396057128906,82.88591003417969
Hardswish,0.0015004036775186423,0,1,3,1,3,1,on,0.00045105368615056674,121,74.5088119506836,-0.6706127524375916,-0.13294897973537445,183,150.95240449905396,348.1210517883301,1692098852.0439637,1692099049.2122507,0.13294897973537445,39409.140625,0.6706127524375916,15.833614349365234,74.5088119506836,72.26409149169922,73.88827514648438
Hardswish,0.012936775504905393,1,0,4,0,1,0,on,0.000753969310458902,137,68.5798110961914,-0.9092122316360474,-0.06781496852636337,184,153.797513961792,399.28253531455994,1692098854.8890803,1692099100.373737,0.06781496852636337,49072.265625,0.9092122316360474,7.76694393157959,68.5798110961914,65.49321746826172,66.4538803100586
Hardswish,0.00302822365262718,1,2,1,1,1,3,on,6.732778052246606e-05,116,82.0069580078125,-0.8316652774810791,-0.3416011333465576,185,153.8802089691162,373.561470746994,1692098854.9717772,1692099074.6526406,0.3416011333465576,43911.5,0.8316652774810791,45.7972297668457,82.0069580078125,85.49634552001953,83.89454650878906
Hardswish,0.0012813096683995868,1,0,0,1,1,1,on,4.8016000014127374e-05,186,69.0261459350586,-0.3982515931129456,-0.06532684713602066,187,156.5515387058258,339.9390377998352,1692098857.643117,1692099041.0302362,0.06532684713602066,36652.671875,0.3982515931129456,7.9842634201049805,69.0261459350586,63.428585052490234,67.4563980102539
Hardswish,0.009347284883867765,0,1,0,1,1,3,on,0.0004658225902629056,68,76.77740478515625,-0.5110235214233398,-0.10817978531122208,188,156.9324390888214,240.39971017837524,1692098858.024011,1692098941.490877,0.10817978531122208,16672.0078125,0.5110235214233398,11.585519790649414,76.77740478515625,75.56615447998047,76.81371307373047
Hardswish,0.002838657090849617,0,0,3,2,0,4,on,6.158864294161746e-05,86,73.794189453125,-1.296553611755371,-0.3520873486995697,189,159.3725128173828,400.7983114719391,1692098860.46408,1692099101.8895442,0.3520873486995697,48260.421875,1.296553611755371,47.167991638183594,73.794189453125,73.8569564819336,69.68325805664062
Hardswish,0.007557984751053031,4,3,0,0,3,2,on,0.0005046162629531361,130,86.25647735595703,-1.414258599281311,-0.3696356117725372,19,0.8316092491149902,417.76120376586914,1692098701.9232051,1692099118.8522887,0.3696356117725372,80480.015625,1.414258599281311,50.41313934326172,86.25647735595703,89.1731185913086,86.20002746582031
Mish,0.0013691999934509523,1,0,0,2,1,3,on,4.738196029671224e-05,62,65.85047912597656,-1.7812809944152832,-0.34403470158576965,190,165.51011157035828,371.2621359825134,1692098866.601673,1692099072.3533263,0.34403470158576965,41125.7578125,1.7812809944152832,47.30564498901367,65.85047912597656,63.58353042602539,65.77914428710938
Hardswish,0.0032153076950578773,0,0,3,1,0,4,on,0.0009565027069320312,124,73.26548767089844,-1.050933003425598,-0.1044830083847046,191,166.3373100757599,426.41625452041626,1692098867.428872,1692099127.507477,0.1044830083847046,51991.10546875,1.050933003425598,11.60131549835205,73.26548767089844,70.81507873535156,71.69525146484375
