p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc
Mish,0.2640089146694225,1,0,1,1,1,4,on,0.0004051271260868591,150,89.3258285522461,-2.793583631515503,-0.08788130432367325,39,0.16523003578186035,1707.8884589672089,1691537124.3568242,1691538832.079534,0.08788130432367325,170566.515625,2.793583631515503,8.632833480834961,89.3258285522461,90.05265808105469,89.41614532470703
Mish,0.9737252275760796,1,4,3,4,3,3,off,1.645330875095497e-05,181,93.82878875732422,-3.395904779434204,-0.14586152136325836,41,227.24488401412964,3103.622501850128,1691537351.4364724,1691540227.8137395,0.14586152136325836,287627.78125,3.395904779434204,17.253833770751953,93.82878875732422,99.68769073486328,94.09951782226562
ReLU,0.3087459166361619,4,1,4,2,1,4,off,0.0007424485834971,198,86.01742553710938,-2.29844331741333,-0.3847186863422394,43,326.5621831417084,2617.231723546982,1691537450.7537682,1691539741.422962,0.3847186863422394,229054.59375,2.29844331741333,45.20684814453125,86.01742553710938,96.27326965332033,91.95711517333984
ReLU,0.4715181089982858,2,3,2,1,4,0,off,0.0005591761744158374,119,83.62030029296875,-1.8817116022109983,-0.7108800411224365,44,483.64563059806824,1883.367323637009,1691537607.837215,1691539007.5585618,0.7108800411224365,139959.84375,1.8817116022109983,87.35710144042969,83.62030029296875,86.07440948486328,78.81163024902344
Mish,0.0985326998552215,4,4,0,3,4,1,off,0.0006963679891458707,148,87.42383575439453,-2.191134214401245,-0.12215182185173036,45,497.8167550563812,2550.7466576099396,1691537622.0083427,1691539674.9378877,0.12215182185173036,205285.890625,2.191134214401245,13.514721870422363,87.42383575439453,91.74319458007812,88.59844970703125
ReLU,0.49798551277925246,2,4,4,3,3,4,off,6.133447522626613e-05,199,94.0399398803711,-3.397862195968628,-0.3750675916671753,46,535.2630670070648,3165.416683912277,1691537659.4546502,1691540289.6079352,0.3750675916671753,263003.03125,3.397862195968628,50.0723762512207,94.0399398803711,99.64694213867188,93.03820037841795
Hardswish,0.33185971324241376,1,1,2,1,2,1,on,0.0003125444240161005,191,93.52406311035156,-1.141985535621643,-0.46548953652381897,47,550.7184181213379,2191.882126569748,1691537674.9100032,1691539316.0733652,0.46548953652381897,164104.046875,1.141985535621643,76.31214904785156,93.52406311035156,96.47222137451172,93.13539123535156
Mish,0.725547768634716,3,0,4,2,0,2,on,0.0006563751730852261,105,72.30558776855469,-3.411844491958618,-0.6310782432556152,48,573.5244405269623,2327.1755106449127,1691537697.71603,1691539451.366738,0.6310782432556152,175352.78125,3.411844491958618,73.36433410644531,72.30558776855469,85.2660903930664,85.41300201416016
Mish,0.23313603569059507,1,1,3,4,3,1,off,4.608781012871307e-05,125,92.99713134765624,-2.678814649581909,-0.1364607959985733,50,615.8445036411285,1996.5586438179016,1691537740.0361006,1691539120.7498486,0.1364607959985733,138059.109375,2.678814649581909,15.222296714782717,92.99713134765624,95.4883804321289,92.23762512207033
ReLU,0.33826342435497686,3,0,4,3,3,2,off,5.997962355825517e-05,112,93.16973876953124,-1.6577246189117432,-0.3833669126033783,54,801.2876019477844,2177.196885108948,1691537925.479186,1691539301.3881311,0.3833669126033783,137578.640625,1.6577246189117432,58.934444427490234,93.16973876953124,91.1158676147461,91.03656005859376
ReLU,0.4316857375040624,0,1,4,4,0,0,off,9.175860907685236e-05,135,90.99949645996094,-1.483645796775818,-0.09132732450962068,55,843.1875500679016,2048.2310643196106,1691537967.379136,1691539172.4223058,0.09132732450962068,120492.0078125,1.483645796775818,10.520092010498049,90.99949645996094,92.90459442138672,89.45136260986328
Mish,0.72355347378605,4,1,3,4,1,0,off,2.275161709833238e-05,94,86.76250457763672,-2.4066028594970703,-0.20706920325756073,56,865.0388147830963,1963.7282030582428,1691537989.2304003,1691539087.9194198,0.20706920325756073,109856.625,2.4066028594970703,14.353120803833008,86.76250457763672,95.00719451904295,88.74449920654297
ReLU,0.20738000430012596,1,1,3,4,0,2,off,1.4234816058441404e-05,177,93.52771759033205,-1.4040199518203735,-0.37141984701156616,58,929.4580760002136,2300.82515001297,1691538053.6496613,1691539425.0163798,0.37141984701156616,137124.34375,1.4040199518203735,46.34126663208008,93.52771759033205,99.4026336669922,92.5411148071289
