p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
ReLU,0.009778764911267578,2,4,1,4,1,1,on,0.0001977349418199861,7,36.371726989746094,-1.8125911951065063,-0.334957093000412,198,478.31626439094543,545.1208870410919,1688961536.764005,1688961603.568255,36.371726989746094,16.703519821166992,0.334957093000412,45.043949127197266,51.76602935791016,6671.455078125,1.8125911951065063
Hardswish,0.5766373142128874,1,0,0,0,3,4,on,0.0008299224189214953,17,38.225120544433594,-0.9368704557418824,-0.09799707680940628,199,490.53523325920105,616.534779548645,1688961548.9829748,1688961674.9821818,38.225120544433594,52.93027877807617,0.09799707680940628,11.308570861816406,51.4635009765625,12587.6220703125,0.9368704557418824
Hardswish,0.7604727585917572,1,1,2,4,1,2,off,0.000965845144744881,99,67.36344909667969,-2.0010318756103516,-0.550494372844696,20,0.45880961418151855,840.0227720737457,1688961058.906568,1688961898.4698768,67.36344909667969,42.91379165649414,0.550494372844696,74.90258026123047,71.03932189941406,83615.328125,2.0010318756103516
Mish,0.04890287883761232,2,0,3,4,2,1,on,0.0001638686605691958,3,77.9654312133789,-3.3781025409698486,-0.5907344818115234,200,501.7128190994262,543.8876593112946,1688961560.1605687,1688961602.3350508,77.9654312133789,84.64408874511719,0.5907344818115234,88.87890625,80.97817993164062,4210.94677734375,3.3781025409698486
Hardswish,0.15960895714584664,2,0,0,0,0,0,off,0.00038597536249532455,50,90.761474609375,-0.8383999466896057,-0.4621872305870056,201,504.30789947509766,812.1870329380035,1688961562.7556512,1688961870.6344109,90.761474609375,94.45339965820312,0.4621872305870056,44.167720794677734,88.43929290771484,30775.5390625,0.8383999466896057
ReLU,0.6667174982197694,1,0,1,0,3,4,off,0.000932710480076414,59,22.19312286376953,-1.570441722869873,-0.08958215266466141,203,519.24049949646,952.6707644462584,1688961577.6882396,1688962011.118145,22.19312286376953,26.827260971069336,0.08958215266466141,11.834771156311035,13.290169715881348,43330.65234375,1.570441722869873
Hardswish,0.8979249549993054,2,0,0,0,3,4,off,0.0009862934760201574,31,23.832748413085938,-1.453384518623352,-0.38643163442611694,205,535.8612298965454,828.4823398590088,1688961594.3089738,1688961886.9297287,23.832748413085938,35.13391876220703,0.38643163442611694,35.877342224121094,40.85024642944336,29249.779296875,1.453384518623352
Mish,0.132660423227703,1,0,1,0,2,4,off,0.0006821851728090054,1,48.38997650146485,-2.522196054458618,-0.22744186222553253,208,546.7359621524811,561.0816929340363,1688961605.183703,1688961619.5291817,48.38997650146485,46.479644775390625,0.22744186222553253,45.06791687011719,45.29765319824219,1430.8214111328125,2.522196054458618
Hardswish,0.858823107330221,1,0,2,2,1,4,on,0.0001551004493784331,29,47.813621520996094,-1.784807801246643,-0.5662546157836914,21,0.4713482856750488,276.07112979888916,1688961058.9191108,1688961334.518155,47.813621520996094,83.9480972290039,0.5662546157836914,66.59500885009766,63.2021369934082,27231.767578125,1.784807801246643
Mish,0.026957550027170183,4,4,3,3,1,0,off,0.0003534654729827381,1,69.92033386230469,-2.735478401184082,-0.13113847374916077,212,596.45734167099,612.9052631855011,1688961654.9050858,1688961671.3526585,69.92033386230469,68.24274444580078,0.13113847374916077,16.35889434814453,69.05638122558594,1640.81689453125,2.735478401184082
