p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Hardswish,0.2330926730855833,2,1,1,3,0,4,off,5.510244543469306e-05,93,80.9118423461914,-1.3533952236175537,-0.3554697036743164,77,1691794005.4518795,1691794264.1994586,0.3554697036743164,51519.62890625,1.3533952236175537,47.13336563110352,80.9118423461914,92.93468475341795,80.6069564819336,False
Mish,0.0607930635381049,3,4,2,0,2,4,off,0.0003689823634636,122,83.06158447265625,-3.8012444972991934,-0.5819042325019836,78,1691794005.4561424,1691794950.2342017,0.5819042325019836,188710.625,3.8012444972991934,82.1814193725586,83.06158447265625,95.96299743652344,83.29000091552734,False
Mish,0.050296390725823,2,2,4,4,1,3,off,0.0009357077043382,135,82.96434783935547,-3.652841091156006,-0.5712559223175049,79,1691794005.4599445,1691794962.5311306,0.5712559223175049,191173.609375,3.652841091156006,82.21409606933594,82.96434783935547,93.97753143310548,83.0044937133789,False
ReLU,0.0064408673528938,2,2,3,3,4,3,off,1.895305102881716e-05,67,81.89806365966797,-1.8217947483062744,-0.6413781046867371,80,1691794005.4634335,1691794293.2251475,0.6413781046867371,57314.75,1.8217947483062744,91.21437072753906,81.89806365966797,92.83372497558594,80.38206481933594,False
Mish,0.516966295901598,2,2,2,4,2,0,on,0.000200483957428,86,78.23052978515625,-4.002851963043213,-1.0526971817016602,81,1691794005.4671934,1691794721.0299623,1.0526971817016602,142870.90625,4.002851963043213,147.81089782714844,78.23052978515625,78.19273376464844,77.6978759765625,False
Hardswish,0.0044009833236853,3,0,3,2,2,4,off,0.0006327539092762,74,79.59683227539062,-1.7168982028961182,-0.5968017578125,82,1691794005.470616,1691794291.3781862,0.5968017578125,56942.51171875,1.7168982028961182,85.82723236083984,79.59683227539062,91.64127349853516,79.91788482666016,False
ReLU,0.0080374137594724,4,2,1,4,3,0,on,0.0007755905430264,148,84.17618560791016,-1.957055926322937,-0.3539492189884186,83,1691794005.4742591,1691794610.1603355,0.3539492189884186,120699.3828125,1.957055926322937,46.78617477416992,84.17618560791016,87.40461730957031,82.41351318359375,False
ReLU,0.8792368038938797,4,3,3,0,1,0,on,0.00072107990343,105,40.60636138916016,-1.3082510232925415,-0.133413478732109,84,1691794005.4784365,1691794314.4189496,0.133413478732109,61550.21875,1.3082510232925415,15.890101432800291,40.60636138916016,60.184608459472656,43.054805755615234,False
Hardswish,0.1259742698279311,2,4,4,4,4,2,off,0.000109171833315,115,79.886962890625,-3.314178466796875,-0.5676436424255371,85,1691794005.482206,1691794814.0488982,0.5676436424255371,161475.625,3.314178466796875,79.60586547851562,79.886962890625,95.15778350830078,77.33983612060547,False
Mish,0.0839003874791665,0,1,0,4,4,4,off,0.0002330560720829,5,28.940082550048828,-2.2750768661499023,-0.0635018870234489,86,1691794005.485974,1691794029.548741,0.0635018870234489,4592.4677734375,2.2750768661499023,7.8671650886535645,28.940082550048828,38.639461517333984,31.379987716674805,False
Mish,0.0126757305949158,4,3,1,4,1,0,off,1.327562917252587e-05,119,78.67747497558594,-2.309237480163574,-0.1072456017136573,87,1691794005.4900708,1691794546.5405514,0.1072456017136573,107977.5078125,2.309237480163574,11.778953552246094,78.67747497558594,90.80140686035156,78.57428741455078,False
Hardswish,0.2262730452961343,2,3,4,3,2,2,on,0.0002182838839581,54,79.0698013305664,-1.9456725120544436,-0.8495312333106995,88,1691794005.4940908,1691794249.1402664,0.8495312333106995,48475.0703125,1.9456725120544436,122.74668884277344,79.0698013305664,82.65695190429688,79.35420227050781,False
ReLU,0.1255725217175361,3,4,1,0,4,3,on,0.000590848611302,32,60.05672836303711,-1.79600989818573,-0.1308435648679733,89,1691794005.497074,1691794125.441932,0.1308435648679733,23767.57421875,1.79600989818573,15.538795471191406,60.05672836303711,66.14349365234375,61.7052001953125,False
Mish,0.0419944003173619,2,0,2,4,1,2,off,2.8230263742367548e-05,75,85.47190856933594,-3.1513400077819824,-0.7881320714950562,90,1691794005.5008535,1691794484.6486382,0.7881320714950562,95596.1328125,3.1513400077819824,115.94701385498048,85.47190856933594,96.82093048095705,84.75936126708984,False
Mish,0.0671426870670645,3,4,2,4,0,2,on,1.4330333230217391e-05,76,85.54134368896484,-3.773982524871826,-0.5795746445655823,91,1691794005.5049329,1691794591.5378437,0.5795746445655823,116962.1640625,3.773982524871826,85.94009399414062,85.54134368896484,88.76936340332031,85.09342956542969,False
