p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_start,m:timestamp_end,m:size_MB,m:runtime,m:latency,m:FLOPS,m:valid-acc,m:train-acc,m:test-acc,pareto_efficient
Hardswish,0.0063753191500203,3,3,2,0,2,3,on,3.3603208087703525e-05,150,87.58456420898438,-1.161354899406433,-0.639279305934906,54,1691698233.8353963,1691698695.9465942,0.639279305934906,92276.7421875,1.161354899406433,92.23925018310548,87.58456420898438,93.5661163330078,86.93557739257812,False
Mish,0.3153535359841993,1,0,1,4,4,4,off,1.2168954858227198e-05,114,61.75981903076172,-2.2079224586486816,-0.0607641898095607,55,1691698233.8391418,1691698738.1016636,0.0607641898095607,100644.65625,2.2079224586486816,7.668200969696045,61.75981903076172,69.91097259521484,62.10911178588867,False
Mish,0.0126757305949158,4,3,1,4,1,0,off,1.327562917252587e-05,119,78.67747497558594,-2.309237480163574,-0.1072456017136573,56,1691698233.1038406,1691698774.3858657,0.1072456017136573,107977.5078125,2.309237480163574,11.778953552246094,78.67747497558594,90.80140686035156,78.57428741455078,False
Mish,0.005953241044223,0,0,2,0,4,4,on,0.0005617640557269,125,69.31684112548828,-2.70251727104187,-0.3316756188869476,57,1691698233.7923644,1691698934.157765,0.3316756188869476,139946.0625,2.70251727104187,42.916603088378906,69.31684112548828,74.92181396484375,69.10643005371094,False
Hardswish,0.0010877225291609,1,1,2,3,3,4,off,2.6421525454591567e-05,136,80.93778228759766,-1.4829941987991333,-0.3611922264099121,58,1691698233.8562713,1691698685.8871343,0.3611922264099121,90303.03125,1.4829941987991333,51.36278533935547,80.93778228759766,92.5386734008789,80.63616180419922,False
Mish,0.4250260207282985,4,1,2,3,1,2,off,1.4578393661004065e-05,81,81.17435455322266,-3.025634288787842,-0.5900702476501465,59,1691698233.3511891,1691698744.126305,0.5900702476501465,101903.6796875,3.025634288787842,84.08932495117188,81.17435455322266,89.89120483398438,81.61079406738281,False
Hardswish,0.0241686886765493,4,0,2,0,3,1,off,2.010242710685751e-05,134,85.11367797851562,-1.298193097114563,-0.3435213565826416,60,1691698233.8665292,1691698618.3035622,0.3435213565826416,76748.09375,1.298193097114563,46.59858703613281,85.11367797851562,99.4362564086914,85.49886322021484,False
Hardswish,0.1227809327662979,4,4,4,2,3,3,off,0.0001327987940475,100,73.8552017211914,-2.622030019760132,-0.3734283745288849,61,1691698233.8634408,1691698808.8999827,0.3734283745288849,114819.71875,2.622030019760132,52.43240737915039,73.8552017211914,86.95313262939453,72.88204193115234,False
Hardswish,0.1259742698279311,2,4,4,4,4,2,off,0.000109171833315,115,79.886962890625,-3.314178466796875,-0.5676436424255371,62,1691698233.869933,1691699041.791592,0.5676436424255371,161475.625,3.314178466796875,79.60586547851562,79.886962890625,95.15778350830078,77.33983612060547,False
ReLU,0.0265122587127746,4,3,0,1,3,4,on,1.3131518844044112e-05,167,84.66026306152344,-1.699968338012695,-0.1349548101425171,63,1691698233.558221,1691698853.251289,0.1349548101425171,123767.1953125,1.699968338012695,15.379403114318848,84.66026306152344,86.0400390625,84.82874298095703,False
