p:Activation,p:LearningRate,p:Op1,p:Op2,p:Op3,p:Op4,p:Op5,p:Op6,p:TrivialAugment,p:WeightDecay,p:nepochs,objective_0,objective_1,objective_2,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:valid-acc,m:train-acc,m:size_MB,m:FLOPS,m:test-acc,m:runtime,m:latency
Hardswish,0.23672328877982313,4,3,4,4,4,1,off,0.0002880971157350323,55,61.15823745727539,-2.4168410301208496,-0.09783416986465454,49,0.4885256290435791,717.8219840526581,1688837082.917366,1688837800.250321,61.15823745727539,89.3692626953125,0.09783416986465454,11.539034843444824,75.58940124511719,71345.25,2.4168410301208496
ReLU,0.7610466453626553,1,3,1,2,0,1,on,0.0003411732277649824,132,38.040992736816406,-1.5431779623031616,-0.3193032741546631,5,0.40880513191223145,984.5565066337584,1688837082.83764,1688838066.9848788,38.040992736816406,32.86022186279297,0.3193032741546631,47.274139404296875,34.25059509277344,97994.375,1.5431779623031616
ReLU,0.8117531800112636,3,1,4,4,1,3,on,0.00012054940333487468,64,73.76551055908203,-2.1180787086486816,-0.12826593220233917,50,0.5022614002227783,662.2206771373749,1688837082.9310958,1688837744.6482463,73.76551055908203,81.61418151855469,0.12826593220233917,12.83970546722412,71.66156768798828,65777.875,2.1180787086486816
Hardswish,0.6908705141596945,3,3,4,4,0,0,off,0.0009197740529258772,54,51.952301025390625,-1.844251275062561,-0.10409717261791228,58,0.5019979476928711,566.1550676822662,1688837082.930828,1688837648.5834482,51.952301025390625,70.59818267822266,0.10409717261791228,14.481035232543944,67.65087127685547,56152.90234375,1.844251275062561
ReLU,0.8889537799884224,0,3,3,2,2,3,off,0.0007843287777002291,80,63.70521926879883,-1.849490523338318,-0.6128087043762207,6,0.4088895320892334,803.6245398521423,1688837082.8377504,1688837886.0528972,63.70521926879883,57.86002731323242,0.6128087043762207,70.90312194824219,51.2470588684082,79894.4375,1.849490523338318
ReLU,0.251052675023808,2,2,0,0,3,1,on,0.0002020628305238426,109,90.71881103515624,-1.2694287300109863,-0.553794801235199,60,0.49829959869384766,936.0180404186248,1688837082.927138,1688838018.4464035,90.71881103515624,94.3433609008789,0.553794801235199,80.56385040283203,93.2105712890625,93152.90625,1.2694287300109863
Mish,0.3726583880475223,3,3,0,4,4,1,on,0.0006265832973310135,15,72.69633483886719,-2.3259048461914062,-0.14321807026863098,64,0.5030364990234375,199.93673396110535,1688837082.9318762,1688837282.3642929,72.69633483886719,77.58528900146484,0.14321807026863098,15.93327808380127,68.10714721679688,19528.73046875,2.3259048461914062
Hardswish,0.0754317600482427,0,4,3,3,1,4,on,0.0005147264432503612,1,75.43328857421875,-2.158398389816284,-0.12429743260145187,68,0.5160119533538818,14.92273998260498,1688837082.9448452,1688837097.3502655,75.43328857421875,51.40659713745117,0.12429743260145187,15.76265811920166,60.198387145996094,1038.1854248046875,2.158398389816284
ReLU,0.47823179587569425,4,3,0,3,2,2,on,0.0003576807415416507,30,80.04398345947266,-1.5494235754013062,-0.5888683795928955,71,0.5106234550476074,310.19642663002014,1688837082.9394648,1688837392.62403,80.04398345947266,85.33528137207031,0.5888683795928955,83.0291519165039,82.90581512451172,30559.14453125,1.5494235754013062
Hardswish,0.9355901607255256,3,4,1,0,1,0,on,0.000370102185049226,98,66.93535614013672,-1.549662470817566,-0.03593606501817703,72,0.5215561389923096,744.5656778812408,1688837082.9503946,1688837826.9940412,66.93535614013672,85.81011199951172,0.03593606501817703,11.721904754638672,62.42070770263672,73992.7421875,1.549662470817566
Mish,0.5607463298597702,0,4,0,1,3,4,off,1.411818421539664e-05,75,91.0250015258789,-1.7992011308670044,-0.13033871352672577,73,0.5424315929412842,674.2530670166016,1688837082.9712653,1688837756.680647,91.0250015258789,90.64962005615234,0.13033871352672577,11.345457077026367,78.2492904663086,66959.390625,1.7992011308670044
Hardswish,0.5112836935581238,0,3,1,3,2,1,on,0.000176017837953041,13,71.19208526611328,-1.3893187046051023,-0.2097245156764984,75,0.5256059169769287,99.96529960632324,1688837082.9544516,1688837182.3928523,71.19208526611328,85.31198120117188,0.2097245156764984,52.415313720703125,84.61736297607422,9529.5107421875,1.3893187046051023
ReLU,0.3527083464018785,1,4,3,4,2,0,off,0.0009301551745296176,66,52.46271514892578,-2.1815314292907715,-0.35929712653160095,78,0.5273475646972656,831.15380859375,1688837082.9561872,1688837913.5821695,52.46271514892578,65.85227966308594,0.35929712653160095,52.60563278198242,53.1127815246582,82653.8515625,2.1815314292907715
Mish,0.7339369501549176,2,0,0,0,3,4,off,0.0006364183921870986,76,32.780723571777344,-2.2303152084350586,-0.38548004627227783,79,0.5552494525909424,820.433228969574,1688837082.9840927,1688837902.8615968,32.780723571777344,77.12016296386719,0.38548004627227783,36.7719841003418,44.947296142578125,81574.265625,2.2303152084350586
